date,total_demand,total_day_ahead_forecast,temperature_Haifa,temperature_Jerusalem,temperature_Tel_Aviv
01-04-2023,57645.42,57335.0,12.45,9.825,15.925
02-04-2023,61254.83,59837.0,14.7125,14.725,16.7375
03-04-2023,60566.84,60323.0,19.8,19.6875,18.7125
04-04-2023,60075.95,59673.0,21.85,20.95,21.65
05-04-2023,55590.3,53818.0,14.25,13.6875,18.675
06-04-2023,50803.82,49565.0,14.0125,13.775,18.1125
07-04-2023,52052.77,51930.0,18.55,19.6375,21.175
08-04-2023,50770.57,47578.0,18.7375,22.3,20.2
09-04-2023,42619.12,41732.0,23.016666666666666,24.349999999999998,23.28333333333333
10-04-2023,57490.3,55591.0,23.325,21.0,23.8875
11-04-2023,55548.85,55524.0,13.725,11.5375,18.0125
12-04-2023,56233.38,54687.0,9.6875,7.975,15.125
13-04-2023,64669.3,60740.0,11.8,8.325,16.3125
14-04-2023,56402.409999999996,57850.0,14.975000000000001,13.85,17.75
15-04-2023,52371.69,54150.0,19.05,17.85,18.775
16-04-2023,58008.15,57575.0,20.675,20.0625,19.5125
17-04-2023,58596.83,58031.0,23.1,22.675,20.4875
18-04-2023,53210.22,52349.0,24.514285714285712,23.914285714285715,22.071428571428573
19-04-2023,22326.18,22206.0,25.099999999999998,21.900000000000002,22.933333333333334
20-04-2023,37565.38,37431.0,15.1,13.739999999999998,19.560000000000002
21-04-2023,54105.87,56457.0,15.0625,13.7625,18.8875
22-04-2023,43093.36,47201.0,15.1,16.742857142857144,18.271428571428572
23-04-2023,55070.04,58487.0,16.7125,17.3875,19.325
24-04-2023,56445.05,56744.0,16.1625,16.275,19.6875
25-04-2023,54383.82,54159.0,15.6,15.799999999999999,18.8875
26-04-2023,50318.26,51907.0,15.987499999999999,16.95,19.1125
27-04-2023,56862.99,57286.0,18.9875,19.1625,20.1875
28-04-2023,55138.26,53832.0,15.3375,14.275,19.8875
29-04-2023,53127.25,52537.0,13.35,11.025,19.0625
30-04-2023,57925.09,58316.0,13.5875,11.3125,18.675
01-05-2023,57765.43,58674.0,14.7125,13.9375,18.3875
02-05-2023,58018.65,57125.0,15.7125,17.1,19.075
03-05-2023,58963.93,58975.0,19.25,19.875,20.6
04-05-2023,61836.89,62286.0,24.55,24.3375,21.3625
05-05-2023,61252.46,60797.0,22.0125,23.55,23.15
06-05-2023,55044.09,55165.0,17.0375,17.275,21.0125
07-05-2023,61219.3,58640.0,16.025,15.525,20.375
08-05-2023,60318.46,61063.0,16.175,15.2,20.0125
09-05-2023,60297.6,59592.0,16.8625,16.6875,20.3625
10-05-2023,61230.990000000005,61378.0,19.4,21.575,20.9125
11-05-2023,61235.24,61475.0,25.9875,25.6375,21.8
12-05-2023,60044.12,57663.0,20.05,20.7625,22.4875
13-05-2023,54970.56,54345.0,16.2,16.025,21.0375
14-05-2023,61514.04,61115.0,17.525,19.1125,20.7625
15-05-2023,64307.21,62796.0,20.225,23.075,21.6
16-05-2023,67888.25,66935.0,27.0125,26.9375,23.05
17-05-2023,71271.04,67434.0,25.4,26.65,23.725
18-05-2023,66147.03,68003.0,17.6875,17.025,21.925
19-05-2023,57050.39,61598.0,17.0375,15.0,21.125
20-05-2023,54480.34,56654.0,16.3875,15.2375,21.0375
21-05-2023,61636.07,65628.0,18.775,19.1375,22.05
22-05-2023,58778.35,60837.0,22.614285714285717,23.428571428571427,26.685714285714287
23-05-2023,38596.04,37491.0,18.240000000000002,18.82,22.52
24-05-2023,32836.380000000005,34800.0,24.025,22.825,23.65
25-05-2023,31819.73,30803.0,21.425,21.125,22.7
26-05-2023,28537.03,29387.0,19.525,20.675,21.625
27-05-2023,48072.630000000005,52591.0,27.266666666666666,26.55,29.150000000000002
28-05-2023,71563.74,74718.0,23.35,20.6,26.0875
29-05-2023,69136.62,67621.0,19.0375,19.5625,22.7875
30-05-2023,67594.09,70216.0,19.35,21.025,22.475
31-05-2023,67496.41,70277.0,20.575,22.1375,22.7875
01-06-2023,71631.5,75974.0,25.6,25.725,25.65
02-06-2023,79845.62,81197.0,30.075,29.5875,32.1
03-06-2023,72247.45999999999,67648.0,22.2,24.1625,24.2375
04-06-2023,70162.66,70054.0,19.6625,20.8625,22.6875
05-06-2023,68123.4,72205.0,19.7,20.575,22.9125
06-06-2023,68562.47,69724.0,20.3375,21.1125,22.95
07-06-2023,70766.21,71390.0,21.7125,22.7375,23.725
08-06-2023,71752.05,75451.0,23.875,25.825,24.0625
09-06-2023,76095.41,77002.0,27.7875,26.975,27.025
10-06-2023,70523.62,68893.0,22.65,22.575,24.4875
11-06-2023,72335.81999999999,71201.0,19.9375,20.4375,23.8375
12-06-2023,71346.97,73849.0,20.2125,20.725,23.9125
13-06-2023,70152.22,71928.0,21.4125,21.425,24.0
14-06-2023,71883.78,72092.0,21.8875,21.85,24.625
15-06-2023,71060.32,72676.0,20.35,19.7,24.1875
16-06-2023,69793.55,68990.0,22.1125,23.4125,24.525000000000002
17-06-2023,70731.16,70079.0,25.35,25.25,26.25
18-06-2023,72619.93,75253.0,20.5,19.35,24.8
19-06-2023,70601.88,73566.0,19.875,18.425,24.1375
20-06-2023,71268.89,71484.0,20.9875,19.6,24.6
21-06-2023,73604.14,72148.0,21.65,21.9,25.0625
22-06-2023,74354.97,74526.0,21.8625,22.425,25.0
23-06-2023,72512.61,72188.0,24.0,23.5,25.4625
24-06-2023,70504.03,69511.0,25.0125,24.4,26.0625
25-06-2023,80093.29000000001,76744.0,23.4375,24.35,25.6
26-06-2023,76480.54,79502.0,21.8125,22.6875,25.5625
27-06-2023,75721.25,78816.0,21.475,22.825,25.575
28-06-2023,74541.39,77770.0,22.0125,23.4,25.575
29-06-2023,74043.03,76581.0,21.8125,21.8,26.075
30-06-2023,72227.71,73340.0,21.8125,21.825,26.05
01-07-2023,70051.94,71334.0,22.3125,23.175,26.225
02-07-2023,77178.1,79339.0,21.8125,21.575,26.05
03-07-2023,78215.98999999999,80069.0,23.0625,24.05,26.05
04-07-2023,80063.8,79630.0,24.775,27.0625,26.4625
05-07-2023,82010.53,80484.0,23.4,25.075,26.6875
06-07-2023,81008.75,82686.0,22.6875,21.9375,27.0
07-07-2023,77278.70999999999,76796.0,22.75,21.7625,27.175
08-07-2023,75373.29,73553.0,22.85,23.037499999999998,27.2125
09-07-2023,84440.35,82523.0,23.0625,23.0,27.8375
10-07-2023,85967.95,85590.0,23.7375,22.8875,27.8875
11-07-2023,88423.12,87581.0,24.95,24.5125,28.0
12-07-2023,87647.13,91499.0,26.2125,27.75,27.8
13-07-2023,91266.7,91021.0,26.6875,29.5875,28.15
14-07-2023,87404.93,89037.0,27.325,28.6875,27.9
15-07-2023,85456.3,86460.0,25.7125,28.775,28.2625
16-07-2023,93918.84,94056.0,26.8,29.55,28.2375
17-07-2023,95936.64,94801.0,27.225,29.3375,28.5625
18-07-2023,96268.69,96018.0,25.35,28.0625,28.425
19-07-2023,94316.92,96310.0,25.4875,28.224999999999998,28.35
20-07-2023,92852.2,94739.0,25.3125,28.4375,28.4875
21-07-2023,87501.5,89834.0,24.9625,27.1125,28.3125
22-07-2023,84294.1,87495.0,24.55,27.725,28.125
23-07-2023,95918.9,95271.0,25.65,29.7125,28.9875
24-07-2023,67258.9,67317.0,27.1,30.78,31.080000000000002
25-07-2023,100560.59,98735.0,27.6875,30.0125,29.5
26-07-2023,100174.03,99627.0,28.3625,29.375,29.575
27-07-2023,96995.72,98651.0,27.7125,30.1,29.7125
28-07-2023,91716.35,90715.0,27.4625,29.625,29.525
29-07-2023,87185.24,87588.0,24.7625,26.65,28.9375
30-07-2023,92003.06999999999,91455.0,24.1375,23.725,28.8625
31-07-2023,93070.83,93339.0,24.8125,25.65,28.5875
01-08-2023,94922.48,91603.0,25.45,27.725,29.0
02-08-2023,93953.52,95099.0,25.025,27.55,28.9375
03-08-2023,92176.3,94747.0,24.525,25.2375,28.5625
04-08-2023,86895.11,89648.0,24.3875,23.8,28.725
05-08-2023,84277.08,85746.0,24.4875,23.925,28.9875
06-08-2023,90529.04,93212.0,24.725,26.0,28.6125
07-08-2023,91692.34,88969.0,25.4625,26.7625,29.2375
08-08-2023,90562.79,90450.0,24.8625,23.9875,28.825
09-08-2023,91567.32,91448.0,25.25,24.05,29.1
10-08-2023,90800.5,90566.0,24.9875,23.9625,29.075
11-08-2023,86871.66,87734.0,25.2125,24.2125,29.1375
12-08-2023,76505.72,76361.0,25.271428571428572,25.657142857142855,28.87142857142857
13-08-2023,102584.94,100414.0,27.7125,29.3625,29.8875
14-08-2023,33446.55,32440.0,25.599999999999998,24.866666666666664,29.833333333333332
20-08-2023,64116.54,63026.0,25.78,26.380000000000003,29.22
21-08-2023,91724.18000000001,92559.0,24.9625,24.2125,28.5375
22-08-2023,90964.18,91729.0,25.4875,25.7,28.4375
23-08-2023,92722.35,91122.0,25.9,25.7875,28.675
24-08-2023,91851.53,91275.0,25.025,24.3875,28.6125
25-08-2023,85157.51000000001,86414.0,24.4,23.4125,28.5625
26-08-2023,84004.31999999999,83653.0,24.3875,23.5125,28.5625
27-08-2023,89089.70999999999,90337.0,24.1375,22.975,28.6
28-08-2023,89530.65000000001,89372.0,23.9625,22.7,28.5875
29-08-2023,89925.75,88710.0,23.8625,23.175,28.9375
30-08-2023,91062.94,89885.0,24.2625,26.375,28.1875
31-08-2023,91802.87,91704.0,24.775,27.7,28.1375
01-09-2023,87617.72,85460.0,24.9,27.2125,28.45
02-09-2023,79980.42,82564.0,23.625,22.8875,28.3375
03-09-2023,86798.16,89252.0,24.1875,22.8625,28.3
04-09-2023,87033.5,87687.0,24.45,23.9625,27.912499999999998
05-09-2023,88392.04,88310.0,25.7875,26.45,28.8625
06-09-2023,90875.85,93221.0,27.5125,28.112499999999997,29.3
07-09-2023,88568.94,92987.0,25.85,28.925,28.912499999999998
08-09-2023,89445.41,87431.0,30.599999999999998,31.7,29.7
09-09-2023,78876.06999999999,77949.0,24.771428571428572,25.514285714285712,29.2
10-09-2023,90949.69,88904.0,24.2,23.375,28.5375
11-09-2023,90997.06,90403.0,26.325,26.2875,29.5875
12-09-2023,94828.06,91345.0,27.7375,27.037499999999998,29.85
13-09-2023,88088.14,91778.0,25.625,22.1625,27.575000000000003
14-09-2023,85339.65000000001,84131.0,24.475,22.5625,27.6125
15-09-2023,69183.92,71474.0,24.142857142857142,22.67142857142857,26.985714285714288
16-09-2023,72343.25,75093.0,24.625,22.025,27.275
17-09-2023,73270.4,74506.0,23.6125,22.4375,27.325
18-09-2023,81312.63,81061.0,23.2625,24.9625,26.85
19-09-2023,81612.22,81416.0,23.075,24.225,27.075
20-09-2023,80969.87,81653.0,23.7625,21.8375,27.575
21-09-2023,82181.56,81056.0,24.225,22.3875,27.9125
22-09-2023,80169.47,78434.0,24.5625,24.5375,27.8
23-09-2023,78260.95999999999,76091.0,24.6875,25.875,28.175
24-09-2023,77404.19,73200.0,23.6875,24.5375,27.7875
25-09-2023,71865.70999999999,65916.0,23.4375,25.2875,27.2875
26-09-2023,81868.46,80596.0,23.1625,25.3375,26.8625
27-09-2023,81929.32,81578.0,23.5625,25.15,26.975
28-09-2023,83424.0,83936.0,25.025,26.325,27.125
29-09-2023,78938.41,81241.0,25.5875,27.375,27.6
30-09-2023,72082.2,76821.0,24.175,24.2625,27.475
01-10-2023,76182.87,77907.0,22.8375,20.974999999999998,27.625
02-10-2023,70976.79,75444.0,22.45,19.3875,26.9625
03-10-2023,70600.65,71418.0,22.225,20.0375,26.0
04-10-2023,70324.23,69196.0,22.3125,20.5875,26.2625
05-10-2023,72121.11,70818.0,22.8875,23.8625,26.95
06-10-2023,70672.77,67586.0,22.875,21.2375,26.9125
07-10-2023,64521.72,62878.0,23.0875,20.7625,25.95
08-10-2023,67383.94,70919.0,22.775,21.9125,26.3
09-10-2023,67174.5,66421.0,22.2375,22.5,25.925
10-10-2023,67533.02,65523.0,22.3125,19.9,26.65
11-10-2023,66073.84,66811.0,21.2125,19.575,25.3375
12-10-2023,65942.76,65427.0,21.925,19.9125,25.7125
13-10-2023,63453.57,62940.0,22.3875,20.425,25.3125
14-10-2023,60526.76,59550.0,21.875,19.9125,25.0875
15-10-2023,62996.229999999996,64731.0,20.35,17.3375,24.75
16-10-2023,62686.31,64784.0,20.8375,18.1875,25.2375
17-10-2023,62494.21,61960.0,21.0625,18.4625,24.1
18-10-2023,61428.9,62401.0,20.7625,18.8,24.4
19-10-2023,63063.57,61556.0,20.8625,18.4875,24.4375
20-10-2023,60744.39,59770.0,20.925,19.0875,24.6375
21-10-2023,57718.36,57897.0,22.1875,22.2875,24.3875
22-10-2023,66734.0,66721.0,25.6375,23.7125,25.4
23-10-2023,69019.38,65997.0,25.1875,22.9875,25.3875
24-10-2023,70129.82,67129.0,24.0625,23.275,25.675
25-10-2023,69786.17,70331.0,25.6875,24.7375,25.6375
26-10-2023,71943.39,70338.0,27.6125,26.575,27.1375
27-10-2023,69336.08,69324.0,28.175,26.6125,27.5375
28-10-2023,67837.13,66254.0,26.2,26.0625,26.475
29-10-2023,71676.3,70630.0,25.7,22.55,27.4
30-10-2023,60842.34,62257.0,23.557142857142857,20.342857142857145,28.457142857142856
31-10-2023,72054.69,71404.0,24.2625,21.9125,28.05
01-11-2023,63914.380000000005,61695.0,24.771428571428572,21.185714285714287,26.142857142857142
02-11-2023,71344.2,70722.0,22.5,21.4625,25.4
03-11-2023,65483.36,66175.0,21.4625,21.675,24.675
04-11-2023,60542.09,64525.0,22.975,23.7,23.95
05-11-2023,65532.97,70226.0,23.225,23.8125,24.2
06-11-2023,65475.54,63195.0,21.95,22.4625,23.7125
07-11-2023,56479.37,56070.0,22.214285714285715,22.842857142857145,23.2
08-11-2023,64729.770000000004,63413.0,21.075,22.95,22.9
09-11-2023,64253.68,64196.0,20.4875,21.8625,22.9625
10-11-2023,60456.899999999994,59892.0,20.5125,19.475,23.462500000000002
11-11-2023,56254.54,57123.0,20.9875,21.025,23.45
12-11-2023,63554.54,63228.0,23.2,22.2375,25.224999999999998
13-11-2023,64583.79,63628.0,22.725,21.9125,25.325
14-11-2023,63961.55,62679.0,19.55,16.9125,22.925
15-11-2023,60565.02,63770.0,18.3625,15.8875,21.8875
16-11-2023,61542.6,60235.0,19.0125,17.2,22.0
17-11-2023,58928.78,56486.0,18.75,17.6125,22.8875
18-11-2023,55503.28,52989.0,19.3,17.625,22.525
19-11-2023,62284.0,62507.0,14.4,13.7625,19.8375
20-11-2023,61883.55,63254.0,15.275,11.275,20.75
21-11-2023,60311.72,61080.0,16.975,13.6875,20.8375
22-11-2023,55002.58,54402.0,16.257142857142856,14.342857142857143,21.8
23-11-2023,61095.33,59672.0,17.4,16.475,21.5
24-11-2023,57039.37,57636.0,17.875,16.5875,20.1
25-11-2023,55247.2,54503.0,18.3875,17.7875,20.8875
26-11-2023,60297.83,61193.0,18.0,15.75,22.6875
27-11-2023,64298.04,63957.0,14.1,10.775,19.6625
28-11-2023,64948.75,63737.0,14.0,10.675,18.6875
29-11-2023,54792.54,54952.0,14.557142857142859,12.714285714285714,18.071428571428573
30-11-2023,56324.64,56224.0,16.5,16.014285714285712,19.342857142857145
01-12-2023,39969.93,44839.0,16.4,16.349999999999998,19.816666666666666
02-12-2023,54369.09,54940.0,17.2875,17.175,19.1625
03-12-2023,59742.92,61570.0,18.9875,17.7125,20.925
04-12-2023,59622.369999999995,60195.0,20.575,20.05,21.9125
05-12-2023,53972.64,54264.0,19.785714285714285,18.242857142857144,20.842857142857145
06-12-2023,61925.8,62626.0,15.6375,13.8,20.1875
07-12-2023,61927.62,62825.0,15.4375,14.3,19.5375
08-12-2023,56970.840000000004,58576.0,16.55,15.1,19.2125
09-12-2023,57856.29,57893.0,13.7625,12.2125,18.5125
10-12-2023,61461.67999999999,62442.0,15.725,13.925,18.2125
11-12-2023,60741.25,61874.0,17.3625,15.8625,18.575
12-12-2023,62683.36,63169.0,16.275,13.7,17.25
13-12-2023,65031.22,67145.0,15.0125,11.7,19.9375
14-12-2023,62682.61,63478.0,15.5125,12.85,19.0125
15-12-2023,58816.89,56912.0,14.875,13.5625,18.375
16-12-2023,56389.68,54608.0,16.4875,16.0625,19.0375
17-12-2023,62685.22,61853.0,17.3375,15.675,18.4625
18-12-2023,63170.37,63130.0,14.875,13.0,18.55
19-12-2023,63539.61,62303.0,13.1,11.85,18.3
20-12-2023,64778.82,62833.0,13.3,12.0,19.5
21-12-2023,66071.75,64741.0,13.3375,12.4375,20.1375
22-12-2023,64509.52,63759.0,12.7,10.6875,18.35
23-12-2023,64683.89,61084.0,13.4375,10.6625,18.675
24-12-2023,68521.91,69557.0,14.425,10.875,16.775
25-12-2023,65463.08,67579.0,15.125,12.3625,17.9375
26-12-2023,64480.81,65386.0,15.1875,13.4,19.5125
27-12-2023,64220.57,64756.0,14.950000000000001,13.2625,20.5375
28-12-2023,64270.0,64201.0,15.1,12.675,17.9625
29-12-2023,60137.340000000004,60017.0,14.3125,10.9875,18.4
30-12-2023,57715.06,57871.0,14.825,11.85,18.9
31-12-2023,63560.72,63928.0,14.775,12.075,17.625
01-01-2024,53199.96,54404.0,15.457142857142857,12.357142857142858,16.97142857142857
02-01-2024,65310.229999999996,64036.0,14.8125,11.475,17.175
03-01-2024,67144.88,65026.0,14.0125,11.7625,17.0375
04-01-2024,65656.16,66270.0,14.35,12.9125,17.65
05-01-2024,63567.61,64283.0,14.125,11.675,17.8125
06-01-2024,57985.37,57603.0,15.375,13.7875,18.975
07-01-2024,62422.94,62630.0,16.6375,16.0125,18.8
08-01-2024,63010.05,64238.0,16.7875,16.325,17.8625
09-01-2024,47979.24,51551.0,15.083333333333334,13.6,17.866666666666667
10-01-2024,66931.41,65972.0,12.1,9.95,15.95
11-01-2024,72424.4,74626.0,11.2,8.5375,15.5625
12-01-2024,71129.08,73933.0,12.0875,8.275,16.475
13-01-2024,65567.33,70106.0,12.05,9.85,17.4
14-01-2024,73001.88,79250.0,11.6625,8.3875,15.8125
15-01-2024,74341.92,78640.0,10.825,8.7875,14.2875
16-01-2024,71175.84,70599.0,12.25,10.3125,15.0625
17-01-2024,73346.5,71804.0,12.45,10.45,14.8875
18-01-2024,70026.85,70065.0,14.125,12.399999999999999,15.325
19-01-2024,63700.46000000001,64272.0,14.85,13.0625,16.1625
20-01-2024,60008.5,59851.0,16.375,14.775,16.5125
21-01-2024,65976.41,67044.0,18.075,16.6125,17.5375
22-01-2024,65712.08,66788.0,17.0875,15.45,17.85
23-01-2024,71546.09,72662.0,12.425,10.0375,17.1375
24-01-2024,74066.11,74199.0,11.2375,8.5125,15.5875
25-01-2024,73574.98,71903.0,10.175,9.45,14.9125
26-01-2024,75149.57,73454.0,10.3875,8.05,15.4875
27-01-2024,71178.27,67695.0,9.975,6.35,15.75
28-01-2024,79479.15,77092.0,9.4,6.975,12.875
29-01-2024,79696.62,82871.0,8.4625,7.025,12.8
30-01-2024,84948.77,85226.0,7.275,6.1,12.5
31-01-2024,84840.62,88059.0,6.637499999999999,5.975,11.0625
01-02-2024,87256.79,86911.0,6.875,5.4,11.9125
02-02-2024,81494.38,84665.0,8.825,5.675,12.65
03-02-2024,78329.25,78270.0,9.0,7.35,12.8375
05-02-2024,84553.71,83548.0,10.325,8.275,14.5875
06-02-2024,75496.6,76606.0,12.6625,9.8,17.0625
07-02-2024,71951.74,72659.0,13.1875,11.7,15.95
08-02-2024,68216.6,69658.0,14.7375,13.875,16.225
09-02-2024,64370.14,63263.0,13.2375,11.1375,15.775
10-02-2024,62523.75,59935.0,13.0625,10.2375,15.674999999999999
11-02-2024,67340.63,64375.0,13.7,12.375,15.75
12-02-2024,66372.6,63812.0,15.8875,14.3625,18.3625
13-02-2024,65542.5,63936.0,15.8,14.625,19.825
14-02-2024,70678.20999999999,71468.0,11.25,10.2625,17.25
15-02-2024,70715.63,75284.0,11.3875,10.4875,15.9
16-02-2024,73613.59,68197.0,8.9,8.65,15.1625
17-02-2024,71085.09,64434.0,9.9375,9.2,14.8875
18-02-2024,74639.59999999999,72867.0,11.325,9.275,14.175
19-02-2024,74350.33,72385.0,11.6625,8.6875,16.0625
20-02-2024,73582.91,70510.0,11.5625,9.575,15.2375
21-02-2024,69943.77,69170.0,13.0625,10.8625,15.1625
22-02-2024,68849.94,67689.0,13.137500000000001,10.5875,15.412500000000001
23-02-2024,65851.68000000001,63767.0,12.55,12.0625,15.674999999999999
24-02-2024,62847.48,60401.0,14.7625,11.7375,17.7375
